TimeStemp;grDataTime;W_GD;W_Yaw_CCW;W_Yaw_CW;W_Gen_APower;W_AcPower;W_Gen_Tor;W_Gen_Tor_Set;W_Nac_WS;W_NAC_WD;W_NAC_VD;W_Yaw_Pos;W_Pitch1;W_Pitch1_Set;W_Pitch2;W_Pitch2_Set;W_Pitch3;W_Pitch3_Set;W_Gen_SP;W_Rotor_SP;W_Nac_AccX;W_Nac_AccY;W_Nac_AccZ;W_Rotor_Pos;Acc2X;Acc2Y;Acc2Z;Temp2;Acc3X;Acc3Y;Acc3Z;Temp3;Acc1X;Acc1Y;Acc1Z;Temp1;Bl2_I_1M;Bl2_O_1M;Bl2_I_12M;Bl2_O_12M;Bl2_T_12M;Bl2_I_20M;Bl2_O_20M;Bl2_T_20M;Bl2_I_30M;Bl2_O_30M;Bl2_T_30M;Bl2_I_40M;Bl2_O_40M;Bl2_T_40M;Bl2_I_50M;Bl2_O_50M;Bl2_T_50M;Bl3_I_1M;Bl3_O_1M;Bl3_I_12M;Bl3_O_12M;Bl3_T_12M;Bl3_I_25M;Bl3_O_25M;Bl3_T_25M;Bl3_I_46M;Bl3_O_46M;Bl3_T_46M;Bl1_I_1M;Bl1_O_1M;Bl1_I_12M;Bl1_O_12M;Bl1_T_12M;Bl1_I_25M;Bl1_25M;Bl1_T_25M;Bl1_I_46M;Bl1_O_46M;Bl1_T_46M;Bl2_B1_1M;Bl2_B2_1M;Bl2_B4_1M;Bl2_B5_1M;Bl2_B1_12M;Bl2_B2_12M;Bl2_B4_12M;Bl2_B5_12M;Bl2_B1_20M;Bl2_B3_20M;Bl2_B4_20M;Bl2_B6_20M;Bl2_B1_30M;Bl2_B3_30M;Bl2_B4_30M;Bl2_B6_30M;Bl2_B1_40M;Bl2_B3_40M;Bl2_B4_40M;Bl2_B6_40M;Bl2_B1_50M;Bl2_B3_50M;Bl2_B4_50M;Bl2_B6_50M;Bl3_B1_1M;Bl3_B2_1M;Bl3_B3_1M;Bl3_B4_1M;Bl3_B1_12M;Bl3_B2_12M;Bl3_B3_12M;Bl3_B4_12M;Bl3_B1_25M;Bl3_B2_25M;Bl3_B3_25M;Bl3_B4_25M;Bl3_B1_46M;Bl3_B2_46M;Bl3_B3_46M;Bl3_B4_46M;Bl1_B1_1M;Bl1_B2_1M;Bl1_B3_1M;Bl1_B4_1M;Bl1_B1_12M;Bl1_B2_12M;Bl1_B3_12M;Bl1_B4_12M;Bl1_B1_25M;Bl1_B2_25M;Bl1_B3_25M;Bl1_B4_25M;Bl1_B1_46M;Bl1_B2_46M;Bl1_B3_46M;Bl1_B4_46M;Bl2_S1_12M0;Bl2_S1_12M1;Bl2_S2_12M0;Bl2_S2_12M1;Bl2_S1_20M0;Bl2_S1_20M1;Bl2_S2_20M0;Bl2_S2_20M1;Bl2_S1_30M0;Bl2_S1_30M1;Bl2_S2_30M0;Bl2_S2_30M1;Bl2_S1_40M0;Bl2_S1_40M1;Bl2_S2_40M0;Bl2_S2_40M1;Bl2_S1_50M0;Bl2_S1_50M1;Bl2_S2_50M0;Bl2_S2_50M1;Bl3_S1_12M0;Bl3_S1_12M1;Bl3_S1_12M1;Bl3_S2_12M1;Bl3_S1_25M0;Bl3_S1_25M1;Bl3_S2_25M0;Bl3_S2_25M1;Bl3_S1_46M0;Bl3_S1_46M1;Bl3_S2_46M0;Bl3_S2_46M1;Bl1_S1_12M0;Bl1_S1_12M1;Bl1_S2_12M0;Bl1_S2_12M1;Bl1_S1_25M0;Bl1_S1_25M1;Bl1_S2_25M0;Bl1_S2_25M1;Bl1_S1_46M0;Bl1_S1_46M1;Bl1_S2_46M0;Bl1_S2_46M1;M_Main_WS;M_Ref_WS;M_Tip_WS;M_Main_WD;M_Press;M_Temp;M_Humi;Power
2018-04-08_15:28:14.303;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-16348;19410;8104;23380;21134;-4722;-6066;-16624;25870;-16716;22909;-17857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15375;13912;-14546;13312;-12045;18098;-9857;17553;-6393;-14944;-6054;3396;0;0;0;0;0;0;0;0;0;0;0;0;-15725;-2878;-15157;-1943;-12827;393;-11532;1077;-9104;2772;-8330;2970;-6148;6706;-5775;10366;-15089;-3040;-15479;-2404;0;0;-11745;863;-10303;3855;-9249;3456;0;6752;-6148;6719;-15355;-10567;-15462;-11030;-5916;-869;-6153;-1504;3166;8216;3435;8040;13162;18040;14029;16553;0;0;0;0;-15423;-11065;3688;8435;-6128;-1533;13223;17617;12808;17494;10908;19250;-15129;-13536;2452;4017;-6082;-1451;13468;17816;0;18097;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:14.323;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-16800;18887;10141;24150;20459;-4722;-5721;-17066;26248;-16345;22909;-17370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15375;13912;-14546;13312;-12045;18098;-9858;17553;-6392;-14945;-6055;3396;-1281;0;-1241;0;0;0;0;0;0;0;0;0;-15725;-2877;-15157;-1943;-12827;401;-11532;1070;-9105;2773;-8330;3724;-6147;6708;-5774;10375;-15089;-3040;-15479;-2404;0;0;-11745;863;-10303;3855;-9249;3456;0;6752;-6149;6720;-15355;-10567;-15462;-11029;-5917;-870;-6153;-1504;3166;8216;3435;8040;13161;18040;14028;16554;0;0;0;0;-15423;-11064;3689;8434;-6128;-1533;13223;17617;12808;17494;10992;19288;-15129;-13536;2452;4017;-6083;-1451;13467;17816;0;18097;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:14.343;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-16800;20465;8104;23380;19120;-4275;-5721;-17066;26248;-16345;22909;-17370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15375;13911;-14546;13312;-12045;18097;-9858;17553;-6392;-14945;-6055;3397;-1281;0;-1241;0;0;0;0;0;0;0;0;0;-15725;-2877;-15157;-1943;-12826;388;-11532;1121;-9104;2774;-8330;3745;-6147;6708;-5774;10377;-15089;-3040;-15479;-2404;0;0;-11745;863;-10303;3854;-9249;3456;0;6752;-6149;6720;-15355;-10567;-15462;-11029;-5917;-870;-6153;-1503;3164;8216;3434;8041;13160;18040;14028;16555;0;0;0;0;-15423;-11063;3688;8434;-6128;-1532;13223;17617;12809;17494;10975;16901;-15129;-13536;2452;4017;-6083;-1451;13467;17818;0;18097;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:14.363;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15895;19937;8104;23380;18780;-4722;-5721;-16624;26626;-17086;22909;-17857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15375;13911;-14546;13312;-12045;18097;-9858;17553;-6391;-14946;-6056;3397;-1281;0;-1242;0;0;0;0;0;0;0;0;0;-15725;-2877;-15157;-1943;-12826;398;-11532;2204;-9105;2775;-8331;3723;-6148;6709;-5774;10377;-15089;-3040;-15479;-2404;0;0;-11745;863;-10303;3854;-9249;3456;0;6751;-6149;6721;-15356;-10567;-15462;-11029;-5917;-870;-6153;-1503;3164;8216;3434;8041;13159;18040;14028;16556;0;0;0;0;-15423;-11063;3688;8434;-6128;-1532;13223;17616;12809;17494;10846;16166;-15129;-13536;2452;4017;-6084;-1452;13466;17816;0;18097;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:14.383;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15443;20465;8104;23380;18780;-4722;-5721;-17066;27758;-17086;22909;-17370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15375;13911;-14547;13313;-12045;18096;-9859;17554;-6391;-14946;-6056;3397;-1280;0;-1242;0;0;0;0;0;0;0;0;0;-15725;-2877;-15157;-1944;-12826;390;-11532;-403;-9102;2776;-8330;3752;-6149;6709;-5774;10374;-15089;-3040;-15479;-2404;0;0;-11745;863;-10303;3854;-9249;3456;0;6751;-6149;6721;-15356;-10567;-15462;-11028;-5918;-870;-6153;-1503;3163;8216;3434;8042;13159;18040;14028;16557;0;0;0;0;-15422;-11063;3688;8434;-6127;-1532;13223;17616;12810;17494;10947;15424;-15129;-13536;2452;4017;-6084;-1452;13467;17818;0;18097;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:14.403;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15443;19937;8104;23380;19454;-4722;-5721;-17066;28135;-17086;22909;-17857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13911;-14548;13313;-12045;18096;-9859;17554;-6391;-14947;-6057;3398;-1280;0;-1242;0;0;0;0;0;0;0;0;0;-15725;-2877;-15157;-1944;-12826;381;-11532;904;-9102;2777;-8330;3720;-6149;6710;-5774;10381;-15089;-3040;-15479;-2404;0;0;-11745;863;-10303;3854;-9250;3456;0;6751;-6149;6721;-15356;-10567;-15462;-11028;-5918;-870;-6153;-1502;3163;8216;3434;8042;13158;18040;14027;16557;0;0;0;0;-15422;-11063;3688;8434;-6127;-1531;13223;17616;12810;17494;10973;16153;-15129;-13536;2452;4017;-6085;-1452;13466;17818;0;18096;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:14.423;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15443;19937;8104;24537;19789;-4722;-5721;-16624;27758;-17086;22567;-17370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13911;-14548;13313;-12045;18095;-9859;17554;-6391;-14947;-6057;3398;-1280;0;-1243;0;0;0;0;0;0;0;0;0;-15725;-2876;-15157;-1944;-12826;388;-11532;1113;-9103;2778;-8330;3717;-6148;6711;-5774;10378;-15089;-3040;-15479;-2404;0;0;-11745;863;-10303;3854;-9250;3456;0;6749;-6150;6723;-15356;-10568;-15462;-11028;-5918;-870;-6153;-1502;3163;8216;3434;8042;13157;18040;14027;16558;0;0;0;0;-15422;-11062;3688;8434;-6127;-1531;13222;17616;12810;17494;10981;16967;-15129;-13536;2452;4017;-6085;-1453;13467;17820;0;18096;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:14.443;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15895;19937;8104;24150;19454;-5623;-6066;-16624;27758;-17086;22909;-17857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13910;-14548;13313;-12045;18095;-9860;17555;-6390;-14948;-6057;3398;-1280;0;-1243;0;0;0;0;0;0;0;0;0;-15725;-2876;-15157;-1945;-12825;398;-11532;2112;-9104;2779;-8330;3733;-6149;6711;-5773;10371;-15089;-3040;-15479;-2403;0;0;-11745;863;-10303;3854;-9250;3456;0;6749;-6150;6723;-15356;-10568;-15462;-11027;-5919;-871;-6153;-1502;3161;8216;3433;8043;13156;18040;14027;16559;0;0;0;0;-15422;-11062;3688;8433;-6126;-1531;13222;17615;12811;17494;10980;19593;-15129;-13536;2452;4017;-6086;-1453;13467;17820;0;18096;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:14.463;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-16348;18887;8104;23768;19454;-5623;-5721;-17066;28135;-17828;22909;-17857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13910;-14548;13314;-12045;18094;-9860;17555;-6390;-14948;-6058;3398;-1279;0;-1244;0;0;0;0;0;0;0;0;0;-15725;-2876;-15157;-1945;-12825;392;-11533;2180;-9103;2780;-8330;4577;-6148;6712;-5773;10383;-15089;-3040;-15479;-2403;0;0;-11745;863;-10303;3854;-9250;3456;0;6748;-6150;6724;-15356;-10568;-15462;-11027;-5919;-871;-6153;-1502;3160;8216;3433;8044;13156;18040;14027;16560;0;0;0;0;-15422;-11062;3688;8433;-6126;-1530;13222;17615;12811;17495;10995;18261;-15129;-13536;2452;4017;-6086;-1453;13467;17822;0;18097;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:14.483;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15895;18360;8104;24150;20459;-5623;-5721;-17066;28135;-17828;22567;-17857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15373;13909;-14549;13314;-12045;18093;-9860;17555;-6390;-14949;-6058;3399;-1279;0;-1244;0;0;0;0;0;0;0;0;0;-15725;-2876;-15157;-1945;-12825;394;-11533;394;-9104;2781;-8330;4609;-6152;6713;-5773;10372;-15089;-3040;-15479;-2403;0;0;-11745;863;-10303;3854;-9250;3456;0;6747;-6150;6725;-15356;-10569;-15462;-11027;-5919;-871;-6153;-1501;3160;8217;3433;8044;13155;18040;14026;16561;0;0;0;0;-15422;-11061;3688;8433;-6126;-1530;13222;17615;12811;17495;10954;15413;-15129;-13536;2452;4017;-6087;-1453;13466;17822;0;18096;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
